Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,75.9,73.9,2.06,2.03,0.03,4.83,2.03,0.03,0.00,0.00,0.00,0.00,64.5,4.17,7.26,64.7,7.60,1.97,0.03,0.14,69.4,0.03,0.63,0.43,0.26,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,6.2,27.4,25.8,1.61,0.00,0.00,4.68,0.16,0.32,0.00,0.00,0.00,0.00,23.2,2.90,1.29,2.26,24.2,0.32,0.16,0.32,23.1,0.00,0.00,0.65,1.29,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,24.7,64.7,55.6,9.11,1.30,0.08,5.38,2.06,4.05,0.89,0.32,0.40,0.08,41.4,9.96,13.4,1.34,52.8,2.19,6.92,0.20,53.3,0.20,0.65,0.97,1.26,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,42.9,42.1,0.71,0.71,0.00,10.7,0.36,0.36,0.00,0.00,0.00,0.00,37.1,2.50,3.21,4.29,36.8,1.43,0.00,0.00,38.6,0.00,0.00,0.36,1.43,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,33.6,32.8,0.80,0.80,0.00,3.90,0.90,0.40,0.00,0.00,0.00,0.00,27.7,2.50,3.40,26.1,5.60,1.30,0.00,0.20,26.6,0.10,1.60,0.80,1.20,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,20,2000,1.4,14.3,12.1,2.14,0.00,0.00,2.86,0.00,0.71,0.00,0.00,0.00,0.00,7.86,5.00,1.43,2.14,8.57,1.43,0.71,0.71,10.7,0.00,0.71,0.00,0.00,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,35.3,34.7,0.55,0.42,0.00,5.34,0.67,0.21,0.04,0.04,0.00,0.00,26.7,3.91,4.66,27.0,5.42,1.55,0.08,0.13,29.7,0.08,0.71,0.71,0.59,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,25.0,25.0,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,22.5,0.00,2.50,17.5,7.50,0.00,0.00,0.00,20.0,0.00,2.50,0.00,0.00,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,43.8,42.7,1.19,1.12,0.14,6.64,0.63,0.07,0.00,0.00,0.00,0.00,32.4,4.13,7.27,6.99,32.7,2.45,0.07,0.28,36.2,0.35,1.26,0.70,0.84,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,57.8,48.2,9.56,1.11,0.00,4.09,1.28,1.42,0.00,0.00,0.00,0.00,34.0,9.12,14.7,9.86,36.1,2.84,8.45,0.14,44.9,0.03,0.81,1.45,1.52,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,71.0,61.4,9.52,0.00,0.00,5.24,0.95,1.90,0.00,0.00,0.00,0.00,55.2,7.14,8.57,55.7,3.81,0.95,9.52,0.00,64.8,0.00,0.00,0.48,0.48,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,50.3,41.7,8.59,0.45,0.00,5.00,0.77,1.92,0.45,0.06,0.19,0.19,33.2,10.4,6.73,36.5,4.29,1.28,7.69,0.13,42.1,0.06,0.32,0.64,2.12,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,30.7,28.7,1.94,0.36,0.03,3.92,0.94,0.19,0.00,0.00,0.00,0.00,18.6,3.56,8.54,1.59,23.6,2.30,1.59,0.10,22.8,0.23,0.91,0.94,0.39,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,27.5,25.8,1.67,0.00,0.06,8.91,1.33,1.00,0.00,0.00,0.00,0.00,13.6,8.00,5.91,14.6,5.21,2.70,0.21,0.61,19.5,0.03,0.82,0.64,1.27,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,80.3,78.0,2.34,1.84,0.04,6.40,2.72,0.00,0.00,0.00,0.00,0.00,69.4,4.79,6.17,18.6,57.4,2.84,0.50,0.11,74.7,0.19,0.69,0.88,0.50,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,36.4,24.9,11.5,0.94,0.00,5.10,0.83,1.67,0.00,0.00,0.00,0.00,14.8,10.2,11.4,1.88,20.2,2.60,10.5,0.10,24.3,0.21,1.46,1.35,1.04,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,21.9,20.6,1.25,0.00,0.00,6.88,0.00,0.63,0.00,0.00,0.00,0.00,13.1,3.75,5.00,1.88,15.0,1.88,0.00,0.63,17.5,0.63,1.25,1.25,0.63,Matches
