Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
126,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,20.5,27.8,73.6,560.1,334.2,6.14,6.14,100.0,6.97,7.06,98.8,6.89,14.1,48.7,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,Matches
127,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,47.0,55.0,85.5,915.0,324.0,17.0,21.0,81.0,25.0,28.0,89.3,5.00,6.00,83.3,0.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,Matches
128,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,12.1,18.8,64.5,154.2,25.5,8.18,11.5,71.1,3.33,5.15,64.7,0.00,0.91,0.0,0.00,0.06,-0.06,0.61,0.00,0.30,0.00,1.21,Matches
129,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,8.00,14.0,57.1,102.0,30.0,4.00,8.00,50.0,4.00,4.00,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Matches
130,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,30.0,40.0,75.0,390.0,240.0,30.0,30.0,100.0,0.00,0.00,,0.00,10.0,0.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,Matches
131,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,28,1992,30.7,32.6,41.0,79.7,541.2,153.5,16.8,19.7,85.3,12.5,14.5,86.3,2.77,4.14,66.9,0.16,0.09,0.07,1.11,2.93,1.30,0.16,3.78,Matches
132,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,46.1,57.6,80.1,1077.5,304.1,13.3,15.1,88.0,19.8,22.9,86.4,12.2,17.8,68.5,0.21,0.17,0.04,1.74,4.60,0.91,0.10,5.47,Matches
133,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,1.2,22.5,30.0,75.0,417.5,32.5,10.8,15.0,72.2,9.17,10.8,84.6,2.50,3.33,75.0,0.00,0.00,0.00,0.83,1.67,0.83,0.00,0.83,Matches
134,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,18,2001,1.5,50.7,61.3,82.6,778.7,211.3,25.3,28.7,88.4,19.3,22.7,85.3,2.67,3.33,80.0,0.00,0.00,0.00,0.67,2.00,2.67,0.67,6.00,Matches
135,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,30.5,37.4,81.5,801.4,403.4,7.54,7.85,96.1,13.7,13.7,100.0,9.23,15.8,58.3,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.15,Matches
