Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1417,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,26,1994,14.9,77.9,84.6,92.0,1620.6,467.3,23.7,25.0,94.9,41.9,43.7,95.9,12.0,15.0,79.9,0.00,0.05,-0.05,0.27,7.25,0.34,0.00,4.83,Matches
1418,Julien Laporte\Julien-Laporte,fr FRA,DF,Lorient,fr Ligue 1,26,1993,29.5,41.7,48.2,86.5,1020.6,304.3,8.44,9.08,92.9,22.1,23.9,92.5,11.1,14.9,74.1,0.00,0.01,-0.01,0.20,2.54,0.20,0.00,2.31,Matches
1419,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,36,1984,34.8,40.3,49.7,81.2,987.8,355.7,8.25,9.20,89.7,21.7,24.0,90.2,10.2,15.9,64.1,0.03,0.03,-0.00,0.17,2.64,0.14,0.00,3.05,Matches
1420,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,1997,35.0,28.7,36.1,79.5,865.8,496.0,4.46,4.49,99.4,13.2,13.4,98.3,11.0,18.1,60.6,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,Matches
1421,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,27,1992,12.3,12.4,17.5,70.7,187.8,32.2,7.56,9.43,80.2,3.25,4.47,72.7,0.89,1.38,64.7,0.08,0.05,0.03,0.65,0.73,0.57,0.08,1.22,Matches
1422,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Hellas Verona,it Serie A,27,1992,14.1,13.8,18.4,74.6,187.0,24.0,9.15,10.5,87.2,2.98,4.40,67.7,0.85,1.63,52.2,0.00,0.08,-0.08,0.78,0.78,0.35,0.00,0.78,Matches
1423,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,26,1993,18.1,26.9,33.1,81.3,586.6,184.1,7.18,8.07,89.0,15.1,16.6,91.3,4.36,7.79,56.0,0.00,0.00,0.00,0.06,1.66,0.28,0.00,1.77,Matches
1424,Paul Lasne\Paul-Lasne,fr FRA,MF,Brest,fr Ligue 1,31,1989,18.7,49.0,56.8,86.2,982.7,200.4,15.9,18.0,88.4,24.3,26.5,91.9,7.54,10.4,72.7,0.00,0.03,-0.03,0.37,3.37,0.27,0.00,2.30,Matches
1425,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,22,1997,8.1,35.4,45.9,77.2,650.7,211.6,15.1,17.0,88.4,16.7,20.5,81.3,3.21,7.04,45.6,0.00,0.04,-0.04,0.37,2.47,0.25,0.25,2.72,Matches
1426,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,30,1989,20.0,26.6,37.6,70.6,508.1,146.2,10.8,13.1,82.8,11.8,15.4,76.1,3.50,6.95,50.4,0.10,0.11,-0.01,1.20,1.90,0.35,0.10,3.35,Matches
1427,Armand Lauriente\Armand-Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,21,1998,18.0,24.1,31.8,75.9,400.3,112.1,14.2,16.0,88.9,6.67,9.06,73.6,2.78,5.33,52.1,0.28,0.29,-0.01,2.17,1.72,1.00,0.28,1.89,Matches
1428,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,31,1989,9.7,41.2,52.3,78.9,772.7,323.2,18.4,20.2,90.8,17.3,21.6,80.0,5.26,9.28,56.7,0.00,0.01,-0.01,0.21,3.92,1.13,0.52,4.54,Matches
1429,Lauti\Lauti,uy URU,MFFW,Celta Vigo,es La Liga,19,2001,0.2,15.0,15.0,100.0,150.0,0.00,5.00,5.00,100.0,5.00,5.00,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1430,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,32,1987,17.9,39.1,45.9,85.3,780.9,230.2,14.0,15.8,88.7,18.3,20.5,89.1,6.37,8.38,76.0,0.00,0.01,-0.01,0.22,2.46,0.45,0.00,3.46,Matches
1431,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,24,1996,13.8,32.0,42.0,76.2,532.9,148.0,16.9,19.5,86.6,11.2,15.0,74.4,3.19,5.80,55.0,0.00,0.07,-0.07,1.16,1.96,0.65,0.29,2.32,Matches
1432,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,29,1990,27.8,36.5,50.1,72.9,621.4,253.3,18.1,20.8,86.7,14.4,20.2,71.2,3.35,6.76,49.5,0.22,0.15,0.07,1.29,2.37,2.05,0.58,5.47,Matches
1433,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,26,1993,29.0,32.8,40.7,80.5,550.1,128.7,15.6,17.8,87.6,13.6,16.4,82.6,2.55,4.52,56.5,0.17,0.13,0.04,1.07,0.97,1.14,0.69,1.31,Matches
1434,Jérémy Le Douaron\Jeremy-Le-Douaron,fr FRA,FWMF,Brest,fr Ligue 1,22,1998,9.1,15.2,21.6,70.1,212.3,42.7,9.23,11.9,77.8,4.40,6.37,69.0,0.77,1.43,53.8,0.22,0.05,0.16,0.99,0.66,0.55,0.11,0.88,Matches
1435,Enzo Le Fée\Enzo-Le-Fee,fr FRA,MFFW,Lorient,fr Ligue 1,20,2000,20.2,34.1,43.6,78.3,641.0,158.2,15.2,17.2,88.5,13.6,16.0,84.8,4.50,8.61,52.3,0.25,0.22,0.02,1.53,3.32,0.59,0.10,2.97,Matches
1436,Vincent Le Goff\Vincent-Le-Goff,fr FRA,DF,Lorient,fr Ligue 1,30,1989,25.6,39.3,49.8,79.0,711.2,308.0,17.3,19.4,89.3,18.0,21.8,82.6,3.75,7.15,52.5,0.00,0.09,-0.09,0.78,2.38,0.94,0.43,4.57,Matches
1437,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,eng Premier League,30,1989,1.4,55.7,58.6,95.1,1315.0,458.6,12.9,12.9,100.0,30.7,32.1,95.6,11.4,12.9,88.9,0.00,0.00,0.00,0.00,2.14,0.71,0.00,4.29,Matches
1438,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,23,1996,30.5,47.0,53.6,87.7,1019.6,255.0,12.2,13.3,91.6,26.3,28.5,92.3,8.30,11.1,74.9,0.03,0.00,0.03,0.03,2.07,0.20,0.03,2.43,Matches
1439,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,30,1990,13.6,25.7,32.0,80.2,570.4,139.4,8.24,10.0,82.4,11.3,13.4,84.6,5.51,7.43,74.3,0.00,0.02,-0.02,0.15,2.65,0.22,0.00,2.72,Matches
1440,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,fr Ligue 1,24,1996,2.8,43.2,55.7,77.6,861.1,161.1,16.4,21.8,75.4,18.6,21.1,88.1,7.14,11.1,64.5,0.00,0.00,0.00,0.36,5.71,1.07,0.00,5.36,Matches
1441,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,it Serie A,21,1999,21.4,16.7,23.2,72.0,267.6,52.3,8.04,10.1,79.6,6.45,9.11,70.8,1.21,2.01,60.5,0.28,0.21,0.07,1.26,0.70,1.26,0.28,1.82,Matches
1442,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,34,1985,36.8,19.0,28.0,67.8,580.4,415.3,4.51,4.51,100.0,6.33,6.44,98.3,7.34,16.2,45.2,0.00,0.00,-0.00,0.05,0.38,0.00,0.00,0.00,Matches
1443,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,de Bundesliga,29,1991,5.6,28.6,37.5,76.2,521.6,112.3,12.9,15.7,81.8,12.3,15.0,82.1,3.04,4.46,68.0,0.18,0.11,0.07,0.89,1.07,1.07,0.54,2.32,Matches
1444,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,1991,28.0,27.1,35.6,76.0,776.5,467.3,5.43,5.50,98.7,11.8,11.8,99.7,9.71,18.1,53.5,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.11,Matches
1445,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,27,1993,32.0,14.4,31.2,46.3,769.6,640.4,0.81,0.94,86.7,2.13,2.25,94.4,11.5,27.9,41.1,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,Matches
1446,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27,1993,22.9,45.7,53.5,85.5,857.7,219.1,19.3,21.0,91.5,19.7,22.2,88.8,5.68,8.30,68.4,0.09,0.06,0.03,0.57,4.67,0.74,0.13,5.50,Matches
1447,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,33,1987,23.7,54.7,63.0,86.9,1049.5,325.7,20.5,22.7,90.2,26.1,28.9,90.2,7.34,9.28,79.1,0.00,0.01,-0.01,0.25,7.76,0.55,0.08,6.46,Matches
1448,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,es La Liga,29,1991,33.5,33.3,41.4,80.4,843.3,309.0,7.22,8.39,86.1,16.8,18.5,90.8,8.99,13.8,65.2,0.03,0.01,0.02,0.18,1.58,0.06,0.00,1.34,Matches
1449,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,es La Liga,27,1993,7.2,46.1,58.1,79.4,842.2,324.6,21.0,23.2,90.4,18.9,22.8,82.9,5.97,10.1,58.9,0.00,0.06,-0.06,0.83,2.08,1.25,0.42,4.03,Matches
1450,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,24,1995,15.2,43.5,53.3,81.6,765.0,195.6,22.0,24.3,90.5,14.6,17.6,82.8,5.86,9.01,65.0,0.20,0.13,0.07,1.32,4.01,1.38,0.13,4.47,Matches
1451,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,eng Premier League,26,1993,18.9,38.8,45.5,85.3,797.8,196.3,12.9,14.7,87.8,18.9,21.1,89.7,6.14,8.62,71.2,0.00,0.04,-0.04,0.53,3.17,0.79,0.05,2.96,Matches
1452,Fabien Lemoine\Fabien-Lemoine,fr FRA,MF,Lorient,fr Ligue 1,33,1987,21.5,58.4,67.6,86.3,1109.9,284.4,23.7,25.6,92.5,25.0,27.5,90.7,8.65,12.2,71.0,0.00,0.05,-0.05,0.74,4.28,0.51,0.19,4.60,Matches
1453,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,25,1995,27.5,77.4,83.4,92.8,1478.1,497.1,29.8,30.9,96.5,37.8,39.5,95.7,9.20,11.9,77.1,0.00,0.03,-0.03,0.25,7.82,0.62,0.07,4.87,Matches
1454,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,28,1992,34.8,26.5,33.2,79.8,632.3,320.5,7.61,7.61,100.0,13.1,13.2,99.3,5.63,12.2,46.0,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.06,Matches
1455,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,25,1994,25.0,39.0,53.6,72.8,731.6,305.7,17.4,20.4,85.5,15.8,20.3,77.9,5.20,10.1,51.4,0.12,0.08,0.04,0.76,2.88,1.20,0.48,4.32,Matches
1456,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,33,1986,10.4,20.9,35.6,58.6,372.9,136.1,9.90,12.8,77.4,7.88,11.4,68.9,2.69,8.65,31.1,0.19,0.22,-0.03,1.63,1.06,1.63,1.15,1.83,Matches
1457,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,31,1989,8.3,11.7,16.5,70.8,164.0,24.0,7.23,8.80,82.2,3.61,4.34,83.3,0.60,1.69,35.7,0.00,0.04,-0.04,0.72,0.72,0.36,0.00,1.08,Matches
1458,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,27,1993,12.9,31.4,38.0,82.7,511.2,129.4,16.1,18.7,86.3,11.2,13.2,85.3,2.95,3.88,76.0,0.08,0.03,0.05,0.62,3.02,0.31,0.00,2.95,Matches
1459,Mehdi Léris\Mehdi-Leris,fr FRA,DFMF,Sampdoria,it Serie A,22,1998,4.3,42.8,54.9,78.0,700.9,204.7,23.3,26.0,89.3,13.3,16.5,80.3,4.88,9.77,50.0,0.00,0.07,-0.07,1.63,2.09,1.16,0.23,3.26,Matches
1460,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,eng Premier League,20,1999,0.1,70.0,90.0,77.8,980.0,380.0,40.0,50.0,80.0,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,Matches
1461,Karlo Letica\Karlo-Letica,hr CRO,GK,Sampdoria,it Serie A,23,1997,1.0,31.0,34.0,91.2,771.0,337.0,3.00,3.00,100.0,20.0,20.0,100.0,8.00,11.0,72.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1462,Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,it Serie A,30,1990,17.4,38.5,51.0,75.5,754.9,284.0,15.2,17.2,88.3,16.2,20.2,80.3,6.15,11.4,54.0,0.06,0.08,-0.02,0.80,2.30,1.84,0.98,3.05,Matches
1463,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,31,1988,27.3,19.9,26.0,76.5,306.7,56.3,11.0,13.4,81.7,6.23,7.77,80.2,1.68,2.31,73.0,0.26,0.13,0.12,1.10,1.25,0.95,0.15,1.90,Matches
1464,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,22,1998,20.4,31.1,40.8,76.2,542.6,222.8,15.0,17.1,88.0,12.0,14.9,80.5,3.43,6.81,50.4,0.05,0.08,-0.03,0.74,1.67,0.78,0.49,1.52,Matches
1465,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Metz,fr Ligue 1,22,1997,11.2,13.5,17.8,75.9,202.6,30.4,8.13,9.91,82.0,3.75,5.09,73.7,1.07,1.52,70.6,0.00,0.06,-0.06,1.07,0.89,0.27,0.00,0.80,Matches
1466,Yanis Lhery\Yanis-Lhery,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,17,2003,0.3,3.33,3.33,100.0,16.7,0.00,3.33,3.33,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1467,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,32,1988,20.3,42.0,56.8,73.9,942.0,270.5,15.2,17.2,88.5,16.0,18.8,84.8,10.0,18.5,54.1,0.20,0.19,0.00,2.22,4.88,1.63,0.89,4.53,Matches
1468,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,24,1996,33.3,49.1,57.2,85.7,1189.5,311.2,7.93,8.98,88.3,29.7,31.3,94.7,11.3,16.2,69.8,0.00,0.01,-0.01,0.09,2.28,0.03,0.00,2.25,Matches
1469,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,20,1999,24.7,64.3,68.9,93.2,1375.6,378.0,17.0,18.1,93.9,35.9,37.2,96.5,10.9,12.9,84.0,0.04,0.02,0.02,0.36,3.97,0.28,0.08,2.79,Matches
1470,Isaac Lihadji\Isaac-Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,18,2002,2.2,34.1,49.1,69.4,599.1,211.4,19.5,21.8,89.6,10.5,16.8,62.2,3.64,6.36,57.1,0.45,0.36,0.09,1.82,4.09,0.45,0.00,4.55,Matches
1471,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,de Bundesliga,22,1998,4.2,19.8,31.2,63.4,333.6,109.3,10.0,13.6,73.7,7.86,10.5,75.0,1.67,4.05,41.2,0.00,0.12,-0.12,0.95,0.48,0.95,0.24,1.90,Matches
1472,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,26,1994,28.7,57.1,62.7,91.1,1130.7,368.3,18.8,19.9,94.4,31.2,32.5,95.9,6.66,9.20,72.3,0.03,0.02,0.01,0.21,3.45,0.21,0.00,3.21,Matches
1473,Karol Linetty\Karol-Linetty,pl POL,MF,Torino,it Serie A,25,1995,20.4,29.8,36.0,82.7,489.0,128.7,16.4,18.6,88.2,10.2,12.0,85.2,2.60,3.68,70.7,0.00,0.06,-0.06,0.78,2.25,0.44,0.00,2.65,Matches
1474,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,eng Premier League,27,1992,15.8,34.4,42.3,81.3,544.2,144.9,19.2,21.7,88.3,10.8,12.7,85.1,3.04,5.25,57.8,0.25,0.09,0.16,1.08,3.67,1.65,0.25,4.11,Matches
1475,Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,it Serie A,22,1997,5.5,37.8,52.7,71.7,681.3,252.5,17.3,21.3,81.2,16.5,22.0,75.2,3.82,8.00,47.7,0.18,0.09,0.09,1.27,2.91,0.73,0.55,4.18,Matches
1476,Pol Lirola\Pol-Lirola,es ESP,DF,Marseille,fr Ligue 1,22,1997,17.3,36.9,47.7,77.3,625.5,208.8,19.5,22.1,88.2,12.3,16.1,76.3,3.93,6.88,57.1,0.12,0.12,0.00,1.10,2.20,0.98,0.35,3.01,Matches
1477,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,eng Premier League,30,1989,13.8,20.5,27.6,74.3,361.0,83.2,9.06,11.0,82.2,7.97,10.6,75.3,2.68,4.57,58.7,0.00,0.01,-0.01,0.36,2.10,0.14,0.07,1.81,Matches
1478,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,eng Premier League,26,1993,13.4,42.4,49.6,85.4,973.9,236.9,7.01,8.06,87.0,27.6,30.2,91.4,7.39,10.1,72.8,0.00,0.04,-0.04,0.30,2.09,0.07,0.00,1.72,Matches
1479,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,26,1993,1.0,48.0,54.0,88.9,1057.0,236.0,12.0,13.0,92.3,27.0,29.0,93.1,9.00,12.0,75.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,Matches
1480,Fernando Llorente\Fernando-Llorente,es ESP,FW,Udinese,it Serie A,35,1985,7.9,20.5,28.0,73.3,278.4,39.5,13.7,17.0,80.6,5.06,7.97,63.5,0.76,1.39,54.5,0.00,0.05,-0.05,0.76,1.14,0.00,0.00,0.89,Matches
1481,Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,it Serie A,35,1985,0.6,20.0,35.0,57.1,280.0,33.3,16.7,25.0,66.7,1.67,6.67,25.0,1.67,1.67,100.0,0.00,0.17,-0.17,3.33,0.00,0.00,0.00,0.00,Matches
1482,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,25,1995,32.8,33.7,40.9,82.5,580.8,133.2,16.8,18.8,89.3,12.1,14.2,85.6,3.54,5.03,70.3,0.34,0.16,0.18,1.28,2.47,1.16,0.43,3.02,Matches
1483,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,33,1986,38.0,20.1,28.1,71.5,575.4,366.3,5.32,5.34,99.5,7.29,7.42,98.2,7.29,15.1,48.2,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,Matches
1484,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,eng Premier League,24,1996,10.5,44.3,56.1,78.9,796.8,210.1,21.2,23.9,88.8,16.2,19.6,82.5,5.90,9.62,61.4,0.10,0.12,-0.03,1.33,4.19,1.05,0.00,5.52,Matches
1485,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,25,1994,1.7,67.1,74.7,89.8,1211.2,201.8,30.6,31.2,98.1,25.3,29.4,86.0,8.82,10.6,83.3,0.00,0.00,0.00,0.00,4.12,0.59,0.00,5.29,Matches
1486,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,22,1998,32.0,76.1,87.0,87.5,1434.3,420.9,33.7,36.1,93.2,31.1,34.4,90.5,10.2,14.4,70.9,0.06,0.11,-0.05,1.28,9.03,1.19,0.19,8.31,Matches
1487,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,22,1998,12.5,47.1,60.4,78.0,878.4,261.5,20.5,23.0,88.9,20.2,24.5,82.7,5.44,9.84,55.3,0.16,0.09,0.07,1.20,1.84,1.20,0.40,3.04,Matches
1488,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,24,1996,0.7,15.7,22.9,68.8,237.1,31.4,8.57,8.57,100.0,5.71,7.14,80.0,1.43,4.29,33.3,0.00,0.00,0.00,0.00,1.43,0.00,0.00,1.43,Matches
1489,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,24,1996,21.2,28.1,33.8,83.1,455.2,103.0,13.8,16.1,85.9,11.5,13.0,88.4,1.98,2.78,71.2,0.00,0.07,-0.07,0.71,2.92,0.57,0.09,3.35,Matches
1490,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27,1993,1.5,32.0,40.0,80.0,811.3,565.3,8.00,8.00,100.0,16.7,16.7,100.0,7.33,15.3,47.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1491,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,29,1990,7.1,25.5,35.9,71.0,609.0,195.4,5.77,7.04,82.0,12.8,16.3,78.4,6.48,11.3,57.5,0.00,0.00,0.00,0.00,1.27,0.28,0.00,2.11,Matches
1492,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,eng Premier League,33,1987,2.3,16.5,25.7,64.4,214.8,73.0,11.7,14.8,79.4,3.48,6.96,50.0,0.87,0.87,100.0,0.00,0.00,0.00,0.00,1.30,0.00,0.00,1.74,Matches
1493,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,20,2000,4.2,27.9,35.2,79.1,505.0,81.2,12.6,15.2,82.8,10.5,11.9,88.0,4.52,7.14,63.3,0.00,0.02,-0.02,0.48,0.95,0.24,0.24,0.71,Matches
1494,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,22,1997,15.7,28.7,36.4,79.0,602.8,138.7,11.0,12.5,88.3,11.2,12.7,88.0,5.67,9.36,60.5,0.06,0.07,-0.01,0.70,2.61,0.13,0.06,2.55,Matches
1495,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,eng Premier League,22,1997,30.5,28.9,38.3,75.3,491.0,141.3,13.7,16.1,85.3,11.5,14.0,82.4,2.82,5.84,48.3,0.13,0.17,-0.04,1.97,1.51,1.38,0.16,3.44,Matches
1496,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,29,1990,38.0,25.6,30.9,82.6,740.9,418.1,4.18,4.24,98.8,11.5,11.6,99.1,9.79,15.0,65.3,0.00,0.00,0.00,0.00,0.32,0.03,0.00,0.13,Matches
1497,Rony Lopes\Rony-Lopes,pt POR,FWMF,Nice,fr Ligue 1,24,1995,19.8,29.8,39.1,76.1,485.8,126.3,16.4,18.4,89.0,9.60,12.1,79.2,3.03,6.41,47.2,0.05,0.17,-0.12,1.82,1.62,1.06,0.45,2.47,Matches
1498,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,es La Liga,36,1983,11.9,46.1,56.4,81.8,881.1,332.1,19.7,22.1,89.0,19.5,22.4,86.9,6.64,10.3,64.2,0.08,0.07,0.02,0.59,3.11,1.09,0.67,3.87,Matches
1499,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,32,1988,5.3,25.3,34.7,72.8,352.8,78.7,15.3,18.9,81.0,8.11,11.5,70.5,1.13,2.26,50.0,0.19,0.15,0.04,0.94,1.89,1.13,0.00,3.21,Matches
1500,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,es La Liga,18,2002,2.8,40.4,52.1,77.4,781.1,284.6,18.2,21.1,86.4,15.7,19.6,80.0,5.71,10.0,57.1,0.00,0.04,-0.04,1.07,1.43,1.43,0.71,2.50,Matches
1501,Maxime Lopez\Maxime-Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,22,1997,1.5,30.7,38.0,80.7,443.3,126.0,18.0,19.3,93.1,10.0,13.3,75.0,1.33,1.33,100.0,0.00,0.13,-0.13,0.67,4.67,0.67,0.00,3.33,Matches
1502,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,it Serie A,22,1997,20.7,76.7,83.0,92.4,1220.7,273.4,41.5,43.3,96.0,27.0,28.5,94.7,6.04,8.07,74.9,0.00,0.05,-0.05,0.97,6.91,1.35,0.00,5.17,Matches
1503,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,25,1994,20.2,26.3,32.8,80.1,697.4,400.1,5.10,5.20,98.1,13.1,13.2,99.2,7.97,14.3,55.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,Matches
1504,Roberto López\Roberto-Lopez,es ESP,MFFW,Real Sociedad,es La Liga,20,2000,5.6,33.8,44.5,75.9,593.9,163.9,16.6,18.8,88.6,12.1,15.5,78.2,4.29,8.04,53.3,0.00,0.30,-0.30,1.79,3.93,1.07,0.18,3.93,Matches
1505,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,24,1995,15.8,53.5,63.7,84.0,1173.5,267.4,18.2,20.4,89.2,21.8,24.5,88.9,12.7,16.9,74.9,0.00,0.08,-0.08,1.08,6.33,1.08,0.25,4.62,Matches
1506,Dion Lopy\Dion-Lopy,sn SEN,MF,Reims,fr Ligue 1,18,2002,2.8,33.9,38.9,87.2,669.6,92.1,12.9,13.6,94.7,14.3,15.7,90.9,6.07,8.57,70.8,0.00,0.04,-0.04,0.71,2.14,1.07,0.36,2.50,Matches
1507,Jordan Lotomba\Jordan-Lotomba,ch SUI,DF,Nice,fr Ligue 1,21,1998,23.6,50.2,61.2,82.0,785.8,252.9,26.6,29.9,88.9,19.6,22.8,85.7,2.75,5.76,47.8,0.00,0.07,-0.07,0.59,2.71,0.55,0.25,3.14,Matches
1508,Adrien Louveau\Adrien-Louveau,fr FRA,DFMF,Lens,fr Ligue 1,20,2000,0.1,50.0,50.0,100.0,910.0,200.0,10.0,10.0,100.0,40.0,40.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1509,Imran Louza\Imran-Louza,fr FRA,MF,Nantes,fr Ligue 1,21,1999,26.4,39.3,50.1,78.5,725.8,199.5,17.8,20.0,89.2,14.2,16.7,84.6,5.80,10.9,52.9,0.08,0.08,-0.01,0.87,4.47,0.45,0.08,3.83,Matches
1510,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,20,2000,15.4,33.3,41.0,81.2,687.3,194.9,10.4,12.3,84.2,16.6,19.1,87.1,5.65,8.38,67.4,0.00,0.01,-0.01,0.32,2.21,0.13,0.00,1.82,Matches
